,Week,Team1,Score1,Team2,Score2,Type
0,1,5,77.66,4,96.84,Regular
1,1,3,171.42,1,128.88,Regular
2,1,2,117.3,8,120.24,Regular
3,1,9,121.2,7,117.4,Regular
4,1,10,105.66,6,107.4,Regular
5,2,1,139.92,8,137.9,Regular
6,2,7,119.08,5,129.24,Regular
7,2,6,136.32,4,112.88,Regular
8,2,9,124.66,3,139.0,Regular
9,2,10,85.38,2,139.34,Regular
10,3,7,96.88,6,119.7,Regular
11,3,1,147.2,9,82.38,Regular
12,3,8,98.08,10,107.7,Regular
13,3,5,140.68,3,122.32,Regular
14,3,4,130.4,2,104.4,Regular
15,4,9,105.72,10,105.46,Regular
16,4,3,78.38,7,140.94,Regular
17,4,2,151.9,6,79.0,Regular
18,4,5,127.9,1,126.4,Regular
19,4,4,96.74,8,151.48,Regular
20,5,3,78.5,2,110.3,Regular
21,5,9,108.52,5,81.08,Regular
22,5,10,94.72,4,90.9,Regular
23,5,7,122.76,1,116.8,Regular
24,5,6,105.04,8,168.84,Regular
25,6,4,102.42,1,116.92,Regular
26,6,8,132.14,7,105.18,Regular
27,6,6,120.24,9,95.24,Regular
28,6,10,123.24,3,56.9,Regular
29,6,2,64.02,5,74.82,Regular
30,7,7,118.42,4,103.9,Regular
31,7,9,99.68,8,78.8,Regular
32,7,3,130.02,6,123.02,Regular
33,7,5,158.2,10,116.58,Regular
34,7,1,117.12,2,96.0,Regular
35,8,4,122.04,9,108.56,Regular
36,8,8,120.02,3,105.34,Regular
37,8,6,85.44,5,98.16,Regular
38,8,10,78.52,1,88.34,Regular
39,8,2,112.82,7,114.04,Regular
40,9,3,134.9,4,114.98,Regular
41,9,5,93.04,9,98.2,Regular
42,9,8,117.78,2,136.22,Regular
43,9,1,96.5,7,100.74,Regular
44,9,6,89.66,10,91.24,Regular
45,10,5,135.16,8,51.64,Regular
46,10,1,102.62,3,77.1,Regular
47,10,4,68.32,6,98.28,Regular
48,10,7,84.44,9,126.26,Regular
49,10,2,95.7,10,141.04,Regular
50,11,1,129.18,6,77.58,Regular
51,11,5,100.22,7,108.9,Regular
52,11,10,90.44,8,132.12,Regular
53,11,3,111.74,9,111.94,Regular
54,11,2,123.56,4,106.72,Regular
55,12,7,112.3,10,77.44,Regular
56,12,9,77.88,1,160.0,Regular
57,12,6,97.4,2,72.9,Regular
58,12,3,181.14,5,72.5,Regular
59,12,8,105.52,4,97.18,Regular
60,13,9,84.1,2,111.76,Regular
61,13,7,149.88,3,88.1,Regular
62,13,4,81.62,10,76.46,Regular
63,13,1,97.4,5,54.9,Regular
64,13,8,121.28,6,120.02,Regular
65,14,1,269.28,9,175.98,Regular
66,14,8,243.44,7,235.78,Regular
67,14,5,121.1,2,97.0,Regular
68,14,6,260.7,3,181.12,Regular
69,14,10,182.82,4,209.58,Regular
70,15,1,274.7,8,314.66,Playoff
71,15,7,196.56,9,155.56,Playoff
72,15,5,236.18,6,238.1,Playoff
73,15,2,34.66,4,171.02,Playoff
74,15,3,190.44,10,220.18,Playoff
